Customer ID,Name,Email,Phone Number,City,Join Date,Purchase Amount
C001,Alexander Michael,geoffreyblake@yahoo.com,2660866524,Williamsmouth,2025-01-18,4639
C002,Michelle Pennington,phillipsstephen@flores-velazquez.com,1602303404,Lake Kathleen,2023-08-23,4652
C003,Candice West,imoore@hotmail.com,8743734967,Richardland,2024-01-07,3526
C004,Laurie Hill,ysanders@peterson.info,4868878875,Steveshire,2023-09-02,1202
C005,Lori Villa,brandy91@harris.info,3351729364,West Nathan,2023-11-11,1665
C006,Jennifer Park,juliagordon@franklin.com,6508554962,Caitlintown,2023-09-04,501
C007,Donald Franklin,johnsonrodney@novak.com,6198536469,Goodmanville,2024-11-09,1102
C008,William Marquez,dgreen@gmail.com,2685136977,East Jennaland,2024-10-05,4671
C009,Corey Black,mcfarlandtiffany@anderson-davies.com,4970433675,South Lisa,2025-06-16,2899
C010,Mark Short,melissa07@andersen-young.com,0752935940,Michaelside,2025-02-14,1354
C011,Andrea Schultz,jonathanpeters@yahoo.com,2683790027,South Pamela,2025-03-05,782
C012,James Benson,scottwallace@yahoo.com,2941459574,West John,2024-10-15,3245
C013,Richard Green,gcunningham@luna.com,8857908338,Bellville,2024-01-10,3160
C014,Justin Gordon,hfisher@kelly.com,2311679147,New Tiffanybury,2024-12-27,1103
C015,Beverly Goodwin,bennettrichard@yahoo.com,3898278689,Choiburgh,2023-09-11,1320
C016,Lisa Foster,andrew46@hotmail.com,1771263632,West Reginaldmouth,2024-08-18,2811
C017,Amanda Rivera,butlertimothy@green.net,3117417118,North Brian,2025-07-15,1338
C018,Christy Taylor,gonzalezkristen@yahoo.com,7455807597,Kevinborough,2024-12-22,4436
C019,Richard Davis,ronaldcarroll@rodriguez.com,3809268856,North Sethton,2024-04-07,4754
C020,Allison Rush,mthompson@warren-singleton.com,4741860387,Port Jeromefurt,2025-03-01,2702
C021,Joshua Schneider,sphillips@bennett-weiss.com,7618773504,South Leahfurt,2024-12-12,1204
C022,Johnathan Heath,blankenshipallison@gmail.com,4821710850,Cathybury,2024-09-14,702
C023,Michael Cruz,kingchristina@hotmail.com,3997757491,New David,2024-11-20,2148
C024,Courtney Marshall,scottross@hotmail.com,2982389095,South Brendamouth,2024-02-27,4520
C025,Rhonda Bentley,omullen@cruz-miller.com,9030785810,Port Williamview,2024-09-14,4227
C026,Tammy David,richardpatterson@yahoo.com,4879830222,North Lindseymouth,2024-06-05,3533
C027,Joshua Cruz,mcdonaldpatricia@swanson-medina.info,1568398962,West Hunterville,2023-10-11,2251
C028,Brandon Carter,pyates@hotmail.com,1854644095,Jenniferburgh,2025-08-01,3578
C029,Christine King,kristopher66@yahoo.com,7238907417,New Jesus,2024-11-06,626
C030,Ryan Green,branchjason@beltran.org,8493265174,Kathrynside,2023-12-05,3393
C031,Preston Jones,michael38@hotmail.com,4355065357,Reneehaven,2023-09-08,2138
C032,Tyler Davis,cruzpatrick@gmail.com,9688062919,Townsendview,2025-07-02,3155
C033,Aaron Meyer,smiller@hotmail.com,7530000842,Kimberlychester,2025-06-23,3406
C034,Nathan Heath,ajones@weeks.com,6996333018,Melindafurt,2023-12-19,953
C035,Mark Perez,robert32@blackwell.com,2342487559,New Ryanland,2025-05-20,3910
C036,Rebecca Montgomery,emathews@hotmail.com,6938496326,Michaelaside,2024-01-14,684
C037,Michelle Chavez,hlandry@porter.com,8615423658,Knightport,2024-05-10,1655
C038,Nicole Evans,jenniferglover@yahoo.com,0959646389,Julieburgh,2025-04-05,1786
C039,Cassandra Calderon MD,melissa04@smith.com,9510346064,South Dennisstad,2025-04-21,1034
C040,Melissa Brown,lpittman@gmail.com,6043268870,New Danielberg,2024-07-20,4684
C041,Timothy Thompson PhD,tonyafranco@luna.com,4332474976,Thompsonmouth,2024-08-29,1658
C042,Brandy Reynolds,ffischer@davis.net,2209437019,Sanchezburgh,2025-06-18,1479
C043,Christopher Chen,egrant@carlson.com,4357190477,Mooreville,2025-05-08,2842
C044,Anthony Short,julia23@gmail.com,1502232037,Rasmussenmouth,2024-08-22,2963
C045,Ronnie Davidson,willie25@white-frank.com,8089018745,Samuelshire,2025-03-15,1045
C046,Becky Espinoza,barnesmitchell@jones.com,4541695149,Bassstad,2025-04-17,2954
C047,Gina Hancock,frederick25@gmail.com,2396805676,Meghanbury,2024-11-20,1905
C048,Mariah Schmitt,lwilliams@hotmail.com,5140799418,Karenmouth,2023-11-09,3051
C049,Gerald Mcknight,debbiewerner@hotmail.com,3656961045,New Carmen,2024-10-23,3856
C050,William Foley,gharmon@gmail.com,5895019936,Meyerhaven,2023-12-29,4854
C051,Caroline Stuart,eburke@wilson-patel.info,5312697776,New James,2024-08-18,667
C052,John Brown,ydavis@gmail.com,9070621758,Port Frankland,2025-04-02,2200
C053,Jonathan Grant,ismith@yahoo.com,6257528366,East Ryan,2024-11-24,3284
C054,Robert Davis,robertsmith@yahoo.com,7939792667,North Lawrence,2024-02-23,4551
C055,Selena Baker,oramsey@sanchez.com,3785697291,Lake Kelly,2025-07-10,3188
C056,Miss Jessica Williams DDS,gjohnston@lamb.com,0946919289,Port Kellybury,2023-12-02,4585
C057,Sarah Lee,frodriguez@leach.com,7681423748,Wadetown,2024-01-29,575
C058,Laura Hale,ucox@wu.org,4950602088,East Bryan,2023-09-21,2410
C059,Amanda Walker,jacobchavez@hawkins-wright.info,9249415403,New Ashleefurt,2024-09-28,1988
C060,Sean Ruiz,matthew65@payne.info,2199498044,Barrettfort,2025-01-19,2377
C061,Jonathan Wagner,fgallagher@yahoo.com,1057765920,New Sara,2023-11-10,3364
C062,Lori Nguyen,solispatricia@hall-romero.com,1521124474,Elizabethport,2023-08-30,3671
C063,Monica Davis,christopher85@hotmail.com,2569074161,Leslietown,2025-03-09,3856
C064,Jennifer Werner,jason97@miller-nguyen.com,2359166004,East Jesus,2024-09-21,993
C065,Joy Lang,todd08@hotmail.com,4917592216,Walkershire,2024-01-14,2343
C066,Parker Mendoza,zcastro@yahoo.com,4138424350,Gloverburgh,2025-03-20,3173
C067,Ashley Arroyo,donnamiller@kim-johnson.org,6060209509,Ashleyfurt,2024-03-23,558
C068,Brittany Valentine,shirleygarcia@gmail.com,8610512762,Bentonmouth,2023-11-25,1433
C069,Gary Melton,patricksmith@gmail.com,5446873037,North Michellebury,2023-09-21,3780
C070,Raven Green,warnercorey@coleman.com,8995392168,Clinebury,2023-10-14,3812
C071,David Morris,qday@snyder.net,8626693447,North Kimberly,2025-06-01,1742
C072,Antonio Lin,jacobnunez@yahoo.com,7135772821,Lake Jamiemouth,2024-11-02,1332
C073,James Shields,mjennings@hotmail.com,2257692894,East Michael,2024-12-05,3366
C074,Stephanie Smith,dgallagher@hotmail.com,3471760717,North Kaylaville,2025-06-30,2906
C075,Elizabeth Phillips,michaelmartinez@lamb.com,1945803818,North Jesse,2025-07-22,3664
C076,Larry Bowers,walterevans@cohen.com,5381900585,Ericksonfurt,2024-07-09,4523
C077,Suzanne Thomas,amanda40@gmail.com,8028290908,Hillbury,2024-02-26,4443
C078,Michaela Freeman,danielgibson@yahoo.com,5656225913,Danielview,2024-03-14,1019
C079,Kenneth Huber,anita78@gmail.com,7045241293,East Alicia,2023-12-03,1042
C080,Cynthia Bruce,gary55@campos.com,9297453089,Hartfurt,2025-03-27,2625
C081,Susan Reilly,edwardsgeorge@gmail.com,8716789480,Oscarbury,2025-05-03,2910
C082,Debra Flores,ronald74@hotmail.com,6921191791,New Ericamouth,2025-02-20,1034
C083,Brian Lopez,tammycline@clarke.com,3042943132,South Lindamouth,2024-05-26,4511
C084,Ashley Butler,heathergarza@gallegos-allen.biz,3279574951,Davidtown,2023-12-19,3887
C085,Joshua Wang,dunnwayne@sanchez.com,3968768304,Robbinsbury,2023-11-04,3160
C086,Jennifer Shannon,nicholas78@gmail.com,6071194505,Mcculloughstad,2024-10-03,986
C087,Shannon Morgan,goodwinjordan@tyler.info,5661364707,Heatherport,2024-10-08,589
C088,Andrew Smith,catherine22@hotmail.com,5464195990,Lake Alexander,2024-03-10,2930
C089,Matthew Davenport,iyu@gmail.com,2311555050,Ramirezberg,2025-06-25,1151
C090,Charles Collins,pagealbert@hotmail.com,2033981430,East Jose,2023-10-05,3953
C091,Melissa Robinson,zsullivan@foster.com,3476904019,Jonesview,2025-05-23,3105
C092,Darren Hart,hgreene@yahoo.com,3758152376,Thomasshire,2024-12-18,987
C093,Angela Tucker,gcantu@yahoo.com,8083595117,East Heathertown,2025-01-13,1068
C094,Ronald Jackson,robertthompson@wells-robinson.biz,8208756279,Campbellside,2025-04-16,4996
C095,Kevin Alexander,jjohnson@ruiz-olsen.com,3482745935,Jonesside,2024-01-02,637
C096,Dawn Morrow,derrickpark@spencer.info,2343603875,New Krista,2024-04-05,3673
C097,John Farrell,dgray@tran.net,8881750300,East Dorothy,2024-11-10,2505
C098,Scott Drake,heather82@thompson-jenkins.com,7746736341,Lake Brian,2024-11-02,3294
C099,Mark Thompson,mcgrathjack@gmail.com,6949982411,New Daniel,2024-11-12,4440
C100,Christopher Gomez,pamelaayers@hotmail.com,3093004366,Christyport,2025-07-30,2660
